brand,expression,whisky_type,age_statement,pack_size_ml,bottle_price,price_band,is_gift_boxed,peat_profile,tier,store_type,shelf_zone,display_type,promo_flag,city_region,week,purchase_type,occasion,basket_role,repeat_purchase_flag,days_since_last_purchase,units_bought,estimated_buyer_stage,product_desc_raw,shelf_tag_raw,promo_text_raw,notes_text
Monkey Shoulder,Blended Malt,blend,,750,448.59,step_up,1,medium,core,premium_store,feature_display,standard,0,Sandton,45,mixed,try something else,primary,0,,1,familiar,Monkey Shoulder Blended Malt blend,Monkey Shoulder Blended Malt whisky,,looked like a gift decision more than a regular buy
Johnnie Walker,Red Label,blend,,750,244.19,budget_edge,0,light,entry,liquor_store,eye_level,promo_stack,1,Pretoria East,44,gift,,primary,0,32.0,1,entry,Johnnie Walker Red Label blend,JW Red Label 750,gift ready bottle special,
Johnnie Walker,Red Label,blend,,750,232.29,budget_edge,0,light,entry,retail_chain,feature_display,promo_stack,1,Rosebank,15,self,quiet pour,primary,0,,2,familiar,Johnnie Walker Red Label 750ml,J Walker Red Label 750ML,price drop while stock lasts,
Johnnie Walker,Black Label,blend,12.0,750,432.86,step_up,1,medium,core,retail_chain,feature_display,promo_stack,1,Pretoria East,22,self,quiet pour,add_on,0,,1,exploratory,Johnnie Walker Black Label single malt gift box,Johnnie Walker Black Label 750 ML,gift ready bottle special,"shopper hovered, then came back after another aisle"
Laphroaig,10,single_malt,10.0,750,956.47,stretch,1,heavy,distinctive,retail_chain,lower,standard,0,Randburg,8,self,braai night,primary,0,,1,preference_led,Laphroaig 10 Scotch 750ml,Laphroaig 10 Gift,,"premium shelf got traffic, but not much conversion late week"
Johnnie Walker,Red Label,blend,,1000,293.36,budget_edge,1,light,entry,retail_chain,eye_level,gift_section,0,Midrand,31,self,weekend top-up,primary,0,9.0,1,entry,Johnnie Walker Red Label Scotch 1000ml gift box,JW Red Label 1000,,promo got attention but not a big basket
Johnnie Walker,Red Label,blend,,1000,380.33,step_up,0,light,entry,liquor_store,feature_display,standard,0,Midrand,11,self,,primary,0,94.0,1,entry,Johnnie Walker Red Label Scotch 1000ml,Johnnie Walker Red Label - R380,,Picked from the feature end after a long look.
Johnnie Walker,Red Label,blend,,750,275.67,budget_edge,0,light,entry,premium_store,end_cap,gift_section,0,Sandton,50,mixed,birthday run,add_on,0,26.0,1,entry,Johnnie Walker Red Label gift pack,Johnnie Walker Red Label 750ML,,picked from the feature end after a long look
Johnnie Walker,Red Label,blend,,1000,341.92,step_up,0,light,entry,retail_chain,end_cap,standard,0,East Rand,2,self,weekend top-up,primary,0,,1,entry,Johnnie Walker Red Label 1000ml,JW Red Label 1000,,"repeat-looking purchase, no real hesitation"
Johnnie Walker,Black Label,blend,12.0,750,418.32,step_up,0,medium,core,retail_chain,end_cap,standard,0,East Rand,38,mixed,weekend top-up,primary,0,23.0,1,familiar,Johnnie Walker Black Label 750ml,Johnnie Walker Black Label 750 ML,,buyer traded up from a usual blend
Glenlivet,12,single_malt,12.0,750,570.27,premium_window,0,light,premium,premium_store,feature_display,promo_stack,0,Sandton,25,self,,primary,0,,1,exploratory,Glenlivet 12 blend,Glenlivet 12 750ML,,
Lagavulin,16,single_malt,16.0,750,1351.35,top_shelf,1,heavy,distinctive,liquor_store,eye_level,standard,0,Rosebank,31,self,quiet pour,primary,1,36.0,2,familiar,Lagavulin 16 whisky gift box,Lagavulin 16 750ML,,
Johnnie Walker,Black Label,blend,12.0,750,374.14,step_up,0,medium,core,liquor_store,end_cap,standard,0,Centurion,51,mixed,special bottle,primary,0,,1,familiar,Johnnie Walker Black Label gift pack,Johnnie Walker Black Label whisky,,
Johnnie Walker,Red Label,blend,,1000,327.69,step_up,0,light,entry,liquor_store,eye_level,standard,0,West Rand,45,self,try something else,primary,0,,1,entry,Johnnie Walker Red Label Scotch 1000ml,Johnnie Walker Red Label whisky,,picked from the feature end after a long look
Chivas Regal,12,blend,12.0,750,414.17,step_up,1,light,core,retail_chain,end_cap,standard,0,Sandton,28,gift,weekend top-up,primary,0,,1,entry,Chivas Regal 12 blend gift box,CR 12 750,,asked for something smoother than usual
Monkey Shoulder,Blended Malt,blend,,750,454.35,step_up,0,medium,core,retail_chain,end_cap,standard,0,Midrand,33,self,last-minute dinner,primary,0,,1,exploratory,Monkey Shoulder Blended Malt Scotch 750ml,Monkey Shoulder Blended Malt Gift,,promo got attention but not a big basket
Chivas Regal,12,blend,12.0,1000,642.35,premium_window,0,light,core,premium_store,end_cap,promo_stack,0,Sandton,5,self,month-end stock-up,primary,1,26.0,1,familiar,Chivas Regal 12 blend,Chivas Regal 12 whisky,,"shopper hovered, then came back after another aisle"
Lagavulin,16,single_malt,16.0,750,1445.69,top_shelf,0,heavy,distinctive,liquor_store,end_cap,gift_section,1,Rosebank,24,self,weekend top-up,primary,1,45.0,1,preference_led,Lagavulin 16 gift pack,Lagavulin 16 whisky,2 for less on selected whisky,
Johnnie Walker,Red Label,blend,,750,262.07,budget_edge,0,light,entry,retail_chain,eye_level,promo_stack,0,West Rand,24,self,,add_on,1,57.0,1,familiar,Johnnie Walker Red Label single malt,JW Red Label 750,,picked from the feature end after a long look
Chivas Regal,12,blend,12.0,750,415.6,step_up,1,light,core,retail_chain,eye_level,gift_section,1,Soweto,9,gift,host gift,primary,0,,1,entry,Chivas Regal 12 gift pack,CR 12 750,bundle with glassware,
Johnnie Walker,Red Label,blend,,1000,334.74,step_up,0,light,entry,liquor_store,lower,promo_stack,1,Fourways,29,self,,primary,0,,1,entry,Johnnie Walker Red Label Scotch 1000ml,Johnnie Walker Red Label - R335,gift ready bottle special,"buyer seemed curious, not fully convinced"
Chivas Regal,12,blend,12.0,1000,508.4,premium_window,0,light,core,retail_chain,feature_display,gift_section,0,Sandton,34,mixed,special bottle,primary,1,52.0,1,familiar,Chivas Regal 12 single malt,Chivas Regal 12 Gift,,
Monkey Shoulder,Blended Malt,blend,,750,426.86,step_up,0,medium,core,premium_store,end_cap,standard,1,Rosebank,40,self,try something else,primary,0,,1,entry,Monkey Shoulder Blended Malt single malt,Monkey Shoulder Blended Malt Gift,gift ready bottle special,asked for something smoother than usual
Monkey Shoulder,Blended Malt,blend,,750,402.76,step_up,0,medium,core,liquor_store,lower,standard,0,Centurion,28,self,braai night,add_on,1,24.0,1,preference_led,Monkey Shoulder Blended Malt Scotch 750ml,MS Blended Malt 750,,staff said peat was a hard sell here
